Country,Year,Highest_Unemployment_Percentage
Australia,2020,6.4556002616882324
Austria,2021,6.1814002990722656
Belgium,2016,7.9252033233642578
Canada,2020,9.5356292724609375
Czech Republic,2016,3.9471504688262939
Denmark,2016,6.1466760635375977
Estonia,2020,6.805762767791748
Finland,2016,8.9202613830566406
France,2016,10.107151031494141
Germany,2016,3.9302864074707031
Greece,2016,23.539272308349609
Hungary,2024,5.1879448890686035
Iceland,2020,6.4300727844238281
Ireland,2016,8.3511638641357422
Israel,2021,4.941248893737793
Italy,2016,11.67595386505127
Japan,2016,3.1156806945800781
Korea,2020,3.9435956478118896
Luxembourg,2020,6.3631291389465332
Mexico,2020,4.4065685272216797
Netherlands,2016,7.0083103179931641
New Zealand,2016,5.148533821105957
Norway,2016,4.9061660766601563
OECD - Total,2020,7.1555986404418945
Poland,2016,6.2580065727233887
Portugal,2016,11.451701164245605
Slovak Republic,2016,9.6451396942138672
Slovenia,2016,8.01708984375
Spain,2016,19.634706497192383
Sweden,2021,8.8013124465942383
Switzerland,2021,5.0886249542236328
Türkiye,2019,13.714703559875488
United Kingdom,2016,4.893376350402832
United States,2020,8.0550155639648438
